time,open,high,low,close,volume,FINANCIAL_PRODUCT,MARKET_PERCEPTION,LEADERSHIP,DIGITAL_BANKING,MACRO_REGULATION,SERVICE,FINANCIAL_FEE
2023-01-03,45.11,46.46,45.11,46.46,1089800,0.0,0.0,0.4667,0.0,0.0,0.0,0.0
2023-01-04,46.63,46.63,46.01,46.58,837900,0.0,0.0,0.4667,0.0,0.0,0.0,0.0
2023-01-05,46.58,47.25,46.41,47.25,1078600,0.0,0.0,0.4667,0.0,0.0,0.0,0.0
2023-01-06,47.25,47.7,47.19,47.25,1125500,0.0,0.0,0.4667,0.0,0.0,0.0,0.0
2023-01-09,48.26,48.88,47.7,48.88,1667100,0.9091,0.5556,0.7333,0.0,0.0,0.0,0.0
2023-01-10,48.49,50.57,48.49,49.11,2112500,0.9091,0.5556,0.7333,0.0,0.0,0.0,0.0
2023-01-11,49.11,49.11,47.87,47.87,983000,0.9091,0.5556,0.7333,0.0,0.0,0.0,0.0
2023-01-12,47.93,47.93,47.14,47.7,1879000,0.9091,0.5556,0.7333,0.0,0.2,0.0,0.0
2023-01-13,47.93,48.66,47.93,48.26,822000,0.9091,0.5556,0.5556,0.0,0.2,0.0,0.0
2023-01-16,48.38,49.78,48.38,49.11,735200,0.7045,0.4896,0.5238,0.0,0.2,-1.0,0.0
2023-01-17,49.78,50.29,49.11,50.29,644600,0.7045,0.4896,0.5238,0.0,0.2,-1.0,0.0
2023-01-18,50.63,51.19,50.29,50.63,834000,0.803,0.5435,0.459,0.0,0.2,-1.0,0.0
2023-01-19,50.34,54.0,49.22,52.31,1716800,0.7523,0.5676,0.459,0.0,0.2,-1.0,0.0
2023-01-27,52.31,53.21,51.47,52.31,1552000,0.7523,0.5676,0.459,0.0,0.2,-1.0,0.0
2023-01-30,51.81,52.03,50.51,50.57,1045000,0.6755,0.5676,0.4159,0.0,0.2,-1.0,0.0
2023-01-31,50.57,51.69,49.39,51.69,1447700,0.6842,0.6541,0.4365,1.0,0.4667,0.0,0.0
2023-02-01,51.75,52.03,50.12,50.12,1136400,0.6571,0.6541,0.4469,1.0,0.4,0.0667,0.0
2023-02-02,49.84,51.75,49.84,50.96,984600,0.6571,0.6541,0.4469,1.0,0.4,0.0667,0.0
2023-02-03,50.79,52.31,50.12,52.31,893400,0.6571,0.6541,0.4469,1.0,0.4,0.0667,0.0
2023-02-06,52.09,54.17,51.47,54.0,1151200,0.7,0.6673,0.4469,1.0,0.52,0.0667,0.0
2023-02-07,53.61,53.72,51.75,51.75,1195400,0.7,0.6673,0.4469,1.0,0.52,0.0667,0.0
2023-02-08,51.81,54.11,51.81,52.99,884800,0.7,0.6673,0.4469,1.0,0.52,0.0667,0.0
2023-02-09,52.76,53.44,52.31,52.31,759400,0.7,0.6673,0.4469,1.0,0.52,0.0667,0.0
2023-02-10,53.16,53.16,52.2,53.16,647700,0.7,0.6673,0.4469,1.0,0.52,0.0667,0.0
2023-02-13,53.33,53.66,51.75,52.59,872700,0.7,0.6673,0.4469,1.0,0.52,0.0667,0.0
2023-02-14,52.59,52.59,51.3,52.03,1143100,0.7,0.6673,0.4195,1.0,0.52,0.0667,0.0
2023-02-15,52.03,52.99,51.3,52.31,899300,0.7,0.6673,0.4195,1.0,0.52,0.0667,0.0
2023-02-16,52.31,52.88,51.86,51.98,776600,0.7,0.6673,0.4195,1.0,0.52,0.0667,0.0
2023-02-17,52.31,52.48,51.75,52.31,918900,0.7,0.6673,0.4195,1.0,0.52,0.0667,0.0
2023-02-20,52.31,53.16,52.31,52.76,1095000,0.7,0.6673,0.4775,1.0,0.52,0.0667,0.0
2023-02-21,52.99,53.38,52.88,52.99,675500,0.7,0.6673,0.4787,1.0,0.52,0.0667,0.0
2023-02-22,52.99,53.04,52.03,52.31,1025500,0.7175,0.6673,0.4787,1.0,0.52,0.0667,0.0
2023-02-23,52.31,52.88,51.3,52.48,1025700,0.7175,0.6673,0.4787,1.0,0.52,0.0667,0.0
2023-02-24,52.31,52.88,50.63,52.59,631400,0.7175,0.6673,0.4787,1.0,0.52,0.0667,0.0
2023-02-27,52.31,52.59,51.58,52.2,501000,0.6935,0.6897,0.4136,1.0,0.52,0.0667,0.0
2023-02-28,52.37,52.71,52.09,52.59,565800,0.6935,0.6897,0.3898,1.0,0.52,0.0667,0.0
2023-03-01,51.92,52.54,51.86,52.31,729700,0.6935,0.6897,0.3898,1.0,0.52,0.0667,0.0
2023-03-02,52.31,52.76,51.64,52.43,984700,0.6935,0.6897,0.3898,1.0,0.6,0.0667,0.0
2023-03-03,51.64,52.2,51.13,51.13,798600,0.6935,0.6897,0.4136,1.0,0.6,0.0667,0.0
2023-03-06,51.19,51.86,51.19,51.19,711900,0.7211,0.7562,0.4114,1.0,0.6,0.6,0.0
2023-03-07,51.47,52.03,51.24,51.69,970300,0.7211,0.7562,0.4114,1.0,0.6,0.6,0.0
2023-03-08,51.19,51.86,51.02,51.86,871900,0.6747,0.7911,0.4467,1.0,0.7333,0.6,0.0
2023-03-09,51.75,52.54,51.58,52.31,1098100,0.6896,0.8667,0.4467,1.0,0.7333,0.6,0.0
2023-03-10,51.86,52.03,51.47,51.81,707800,0.6896,0.8667,0.4467,1.0,0.7333,0.6,0.0
2023-03-13,51.75,51.75,51.08,51.47,759200,0.7699,0.8667,0.496,1.0,0.7333,0.6,0.0
2023-03-14,51.19,51.3,50.91,51.19,863700,0.784,0.7333,0.48,0.0,0.6,0.2,0.0
2023-03-15,51.53,51.75,51.24,51.41,807800,0.9286,0.7333,0.4667,0.0,1.0,0.0,0.0
2023-03-16,51.19,51.75,50.34,51.19,806000,0.9286,0.7333,0.4667,0.0,1.0,0.0,0.0
2023-03-17,51.19,51.24,50.06,50.06,2272200,0.9286,0.7333,0.4667,0.0,1.0,0.0,0.0
2023-03-20,50.06,50.34,47.87,47.87,1034000,0.8571,0.0,0.4667,0.0,0.0,0.0,0.0
2023-03-21,48.04,50.57,48.04,48.66,1057400,0.8571,0.0,0.4667,0.0,0.0,0.0,0.0
2023-03-22,48.71,50.57,48.71,50.06,1055800,0.8571,0.0,0.4667,0.0,0.0,0.0,0.0
2023-03-23,49.95,51.02,49.11,51.02,849500,0.8571,0.0,0.4667,0.0,0.0,0.0,0.0
2023-03-24,51.19,51.19,50.01,50.06,630000,0.8571,0.0,0.6,0.0,1.0,0.0,0.0
2023-03-27,50.06,51.19,49.5,51.19,730100,0.8571,0.0,0.6,0.0,1.0,0.0,0.0
2023-03-28,51.08,52.26,50.68,51.64,845800,0.8571,0.0,0.7333,0.0,1.0,0.0,0.0
2023-03-29,52.03,52.03,50.91,51.92,422800,0.5952,0.8182,0.7333,0.0,0.6,0.0,0.0
2023-03-30,51.92,52.43,51.75,52.14,409700,0.5952,0.8182,0.7333,0.0,0.6,0.0,0.0
2023-03-31,52.2,52.43,50.91,51.41,950600,0.7302,0.9091,0.8,1.0,0.6,0.0,0.0
2023-04-03,51.58,52.26,51.3,52.2,736700,0.7302,0.9091,0.7333,1.0,0.6,0.0,0.0
2023-04-04,52.2,52.26,51.53,51.75,269900,0.7302,0.9091,0.7333,1.0,0.6,0.0,0.0
2023-04-05,51.92,51.92,51.24,51.81,336000,0.6667,0.9091,0.7333,1.0,0.6,0.0,0.0
2023-04-06,51.47,51.81,51.3,51.3,376300,0.6667,0.9091,0.7333,1.0,0.6,0.0,0.0
2023-04-07,51.19,51.24,50.34,50.63,747200,0.6667,0.9091,0.6,1.0,0.6,0.0,0.0
2023-04-10,50.63,50.63,50.06,50.06,639300,0.6667,0.9091,0.6,1.0,0.6,0.0,0.0
2023-04-11,50.06,50.63,49.61,49.61,751600,0.6667,0.9091,0.7333,1.0,0.6,0.0,0.0
2023-04-12,49.67,49.84,49.5,49.67,518400,0.6667,0.9091,0.7333,1.0,0.6,0.0,0.0
2023-04-13,49.67,49.78,49.39,49.61,491000,0.6667,0.9091,0.7333,1.0,0.6,0.0,0.0
2023-04-14,49.67,50.12,49.61,49.73,414800,0.6667,0.9091,0.7333,1.0,0.6,0.0,0.0
2023-04-17,49.73,49.78,49.39,49.73,488900,0.6667,0.9091,0.7333,1.0,0.6,0.0,0.0
2023-04-18,49.67,49.84,49.22,49.5,695100,0.6667,0.9091,0.7333,1.0,0.6,0.0,0.0
2023-04-19,49.56,49.89,49.5,49.78,416900,0.6667,0.9091,0.7333,1.0,0.6,0.0,0.0
2023-04-20,49.95,49.95,49.5,49.67,257800,0.7778,0.9091,0.8,1.0,0.6,0.0,0.0
2023-04-21,49.5,49.56,49.16,49.22,356500,0.8333,0.9091,0.7714,1.0,0.6741,1.0,0.0
2023-04-24,49.5,49.78,48.94,49.44,505800,0.8333,0.9091,0.7714,1.0,0.6741,1.0,0.0
2023-04-25,49.61,49.78,49.22,49.67,545800,0.8333,0.9091,0.7714,1.0,0.6741,1.0,0.0
2023-04-26,49.5,50.34,49.44,50.29,710200,0.8333,0.9091,0.6762,1.0,0.6741,1.0,0.0
2023-04-27,49.89,50.91,49.73,50.63,580400,0.8333,0.9091,0.6762,1.0,0.6741,1.0,0.0
2023-04-28,50.63,50.91,49.95,50.91,704700,0.8333,0.9091,0.6762,1.0,0.6741,1.0,0.0
2023-05-04,50.63,50.63,49.78,49.78,496000,0.8333,0.9091,0.6762,1.0,0.6741,1.0,0.0
2023-05-05,49.78,50.57,49.61,50.51,225700,0.8333,0.9091,0.6762,1.0,0.6741,1.0,0.0
2023-05-08,50.63,52.43,50.51,52.31,1500200,0.8333,0.9091,0.6762,1.0,0.6741,1.0,0.0
2023-05-09,52.31,52.82,51.92,51.92,563400,0.8333,0.9091,0.6762,1.0,0.6741,1.0,0.0
2023-05-10,51.69,52.31,51.53,51.75,417400,0.8333,0.9091,0.6114,1.0,0.5111,1.0,0.0
2023-05-11,51.75,51.81,51.19,51.19,505600,0.8333,0.9091,0.6114,1.0,0.5111,1.0,0.0
2023-05-12,51.19,52.2,51.08,52.2,710500,0.823,0.6949,0.6114,1.0,0.5111,1.0,0.0
2023-05-15,51.75,52.31,51.3,51.58,450500,0.9455,0.6333,0.6114,1.0,0.8222,1.0,0.0
2023-05-16,51.75,52.37,51.36,52.09,666100,0.9455,0.6333,0.6114,1.0,0.8222,1.0,0.0
