,time,open,high,low,close,volume
0,2015-08-09,6.14,6.14,4.74,4.74,389400
1,2015-08-16,4.74,5.3,4.55,4.83,77650
2,2015-08-23,4.62,4.94,4.62,4.92,329200
3,2015-08-30,4.82,4.87,4.56,4.6,299460
4,2015-09-06,4.67,4.68,4.52,4.52,249310
5,2015-09-13,4.53,4.53,4.44,4.45,276760
6,2015-09-20,4.45,4.66,4.26,4.59,242700
7,2015-09-27,4.56,4.64,4.45,4.58,203570
8,2015-10-04,4.57,4.95,4.48,4.91,311480
9,2015-10-11,4.91,5.26,4.87,5.1,403030
10,2015-10-18,5.24,5.24,4.63,4.85,431420
11,2015-10-25,4.85,4.85,4.22,4.51,387910
12,2015-11-01,4.51,5.22,4.51,5.05,416290
13,2015-11-08,5.12,5.12,4.8,4.9,219890
14,2015-11-15,4.93,4.93,4.6,4.7,139660
15,2015-11-22,4.72,4.72,4.34,4.34,286890
16,2015-11-29,4.45,4.59,4.07,4.28,115280
17,2015-12-06,4.23,4.47,4.23,4.26,155300
18,2015-12-13,4.45,4.51,4.2,4.3,241930
19,2015-12-20,4.27,4.45,4.07,4.34,98570
20,2015-12-27,4.26,4.56,4.15,4.27,97300
21,2016-01-03,4.2,4.57,4.17,4.36,165600
22,2016-01-10,4.4,4.4,4.01,4.18,27270
23,2016-01-17,3.89,4.4,3.89,4.18,33700
24,2016-01-24,3.96,4.18,3.86,4.06,23320
25,2016-01-31,3.94,4.34,3.94,4.14,98770
26,2016-02-07,4.15,4.26,4.07,4.26,8440
27,2016-02-14,,,,,0
28,2016-02-21,4.38,4.38,4.09,4.2,28040
29,2016-02-28,4.22,4.32,4.12,4.12,66550
30,2016-03-06,4.12,4.25,3.94,3.94,93770
31,2016-03-13,4.01,4.41,3.99,4.16,272880
32,2016-03-20,4.13,4.34,3.86,4.06,104880
33,2016-03-27,4.06,4.06,3.92,4.02,96470
34,2016-04-03,4.02,4.06,3.86,3.98,133340
35,2016-04-10,3.98,3.98,3.7,3.9,142910
36,2016-04-17,3.92,3.98,3.52,3.73,49420
37,2016-04-24,3.65,3.73,3.58,3.66,51630
38,2016-05-01,3.64,3.7,3.3,3.7,31650
39,2016-05-08,3.69,3.69,3.58,3.61,20930
40,2016-05-15,3.46,3.59,3.44,3.54,7540
41,2016-05-22,3.54,3.54,3.1,3.24,19180
42,2016-05-29,3.17,3.33,2.97,3.17,9550
43,2016-06-05,2.97,3.33,2.77,3.24,45070
44,2016-06-12,3.24,3.32,3.08,3.21,45660
45,2016-06-19,3.21,3.36,3.13,3.3,25470
46,2016-06-26,3.19,3.28,3.03,3.15,52370
47,2016-07-03,2.96,3.17,2.96,3.08,19400
48,2016-07-10,3.02,3.17,2.95,2.97,31980
49,2016-07-17,2.97,3.1,2.89,3.0,15650
50,2016-07-24,3.0,3.0,2.75,2.85,30380
51,2016-07-31,2.85,2.85,2.48,2.66,71640
52,2016-08-07,2.64,2.75,2.52,2.56,231020
53,2016-08-14,2.56,2.56,2.27,2.33,169960
54,2016-08-21,2.33,2.37,2.24,2.24,111460
55,2016-08-28,2.24,2.24,2.02,2.11,161350
56,2016-09-04,2.09,2.33,2.09,2.15,206380
57,2016-09-11,2.12,2.19,2.08,2.15,331470
58,2016-09-18,2.15,2.6,2.13,2.46,867070
59,2016-09-25,2.46,2.56,2.3,2.44,968660
60,2016-10-02,2.44,2.82,2.42,2.78,1210420
61,2016-10-09,2.75,2.96,2.66,2.88,1161870
62,2016-10-16,2.88,2.95,2.69,2.82,950890
63,2016-10-23,2.78,3.44,2.67,3.36,1913880
64,2016-10-30,3.29,3.33,2.89,3.1,1220210
65,2016-11-06,3.06,3.13,2.75,2.95,965900
66,2016-11-13,2.93,3.29,2.84,3.22,998340
67,2016-11-20,3.26,3.26,2.93,2.95,671150
68,2016-11-27,2.96,3.33,2.96,3.02,1446600
69,2016-12-04,3.0,3.1,2.92,3.0,512610
70,2016-12-11,2.97,3.0,2.77,2.89,435480
71,2016-12-18,2.89,2.95,2.84,2.88,261960
72,2016-12-25,2.88,2.88,2.7,2.7,279340
73,2017-01-01,2.7,2.99,2.59,2.9,399400
74,2017-01-08,2.9,2.9,2.79,2.84,261360
75,2017-01-15,2.81,2.92,2.76,2.81,284160
