,time,open,high,low,close,volume
0,2007-11-18,2.05,2.05,1.72,1.91,1554840
1,2007-11-25,1.81,1.81,1.65,1.73,1279680
2,2007-12-02,1.7,1.73,1.65,1.67,771400
3,2007-12-09,1.69,1.69,1.61,1.61,515890
4,2007-12-16,1.58,1.59,1.39,1.43,860390
5,2007-12-23,1.45,1.55,1.43,1.5,627900
6,2007-12-30,1.52,1.52,1.45,1.51,601740
7,2008-01-06,1.51,1.55,1.51,1.55,568370
8,2008-01-13,1.56,1.74,1.55,1.69,2338440
9,2008-01-20,1.7,1.7,1.56,1.63,1331350
10,2008-01-27,1.61,1.63,1.47,1.48,451770
11,2008-02-03,1.51,1.61,1.48,1.61,798460
12,2008-02-10,,,,,0
13,2008-02-17,1.63,1.63,1.55,1.55,542490
14,2008-02-24,1.47,1.49,1.27,1.29,683100
15,2008-03-02,1.34,1.35,1.27,1.28,775240
16,2008-03-09,1.22,1.23,1.11,1.23,1043120
17,2008-03-16,1.29,1.34,1.28,1.29,1217110
18,2008-03-23,1.24,1.25,1.1,1.1,1037320
19,2008-03-30,1.05,1.05,0.96,1.05,854950
20,2008-04-06,1.06,1.09,1.06,1.09,220040
21,2008-04-13,1.11,1.12,1.08,1.08,1045620
22,2008-04-20,1.06,1.08,1.04,1.05,483200
23,2008-04-27,1.04,1.04,0.97,0.97,506300
24,2008-05-04,0.99,1.0,0.99,1.0,407700
25,2008-05-11,1.02,1.04,1.0,1.0,1095700
26,2008-05-18,0.99,0.99,0.92,0.92,521840
27,2008-05-25,0.91,0.92,0.84,0.84,591230
28,2008-06-01,0.83,0.83,0.81,0.81,14760
29,2008-06-08,0.8,0.8,0.74,0.74,46510
30,2008-06-15,0.72,0.72,0.69,0.72,536360
31,2008-06-22,0.74,0.76,0.69,0.69,820160
32,2008-06-29,0.72,0.8,0.72,0.8,1027680
33,2008-07-06,0.82,0.92,0.82,0.92,220560
34,2008-07-13,0.94,1.04,0.89,1.04,3582790
35,2008-07-20,1.07,1.19,1.07,1.19,4510950
36,2008-07-27,1.17,1.19,1.06,1.1,3650570
37,2008-08-03,1.13,1.26,1.13,1.26,747500
38,2008-08-10,1.29,1.3,1.2,1.3,7332190
39,2008-08-17,1.34,1.47,1.32,1.47,5348160
40,2008-08-24,1.53,1.74,1.49,1.65,7718650
41,2008-08-31,1.73,1.76,1.44,1.44,7018990
42,2008-09-07,1.49,1.51,1.41,1.41,3251250
43,2008-09-14,1.34,1.44,1.29,1.29,4239510
44,2008-09-21,1.35,1.38,1.19,1.25,3590120
45,2008-09-28,1.3,1.39,1.27,1.38,6522720
46,2008-10-05,1.32,1.38,1.19,1.19,4442100
47,2008-10-12,1.16,1.16,0.93,0.93,2806900
48,2008-10-19,0.9,0.97,0.88,0.95,2971930
49,2008-10-26,0.94,0.94,0.82,0.82,1890930
50,2008-11-02,0.78,0.78,0.69,0.74,4538210
51,2008-11-09,0.71,0.84,0.7,0.79,4241410
52,2008-11-16,0.78,0.83,0.7,0.75,2241500
53,2008-11-23,0.73,0.75,0.65,0.68,2009010
54,2008-11-30,0.7,0.71,0.66,0.69,2304120
55,2008-12-07,0.67,0.71,0.66,0.66,1041180
56,2008-12-14,0.64,0.68,0.63,0.68,1541600
57,2008-12-21,0.71,0.72,0.68,0.71,1776840
58,2008-12-28,0.74,0.74,0.7,0.73,1646480
59,2009-01-04,0.73,0.76,0.72,0.73,1426070
60,2009-01-11,0.73,0.76,0.71,0.75,2055890
61,2009-01-18,0.74,0.75,0.73,0.73,924640
62,2009-01-25,0.73,0.73,0.71,0.72,543210
63,2009-02-01,,,,,0
64,2009-02-08,0.7,0.72,0.64,0.65,1214230
65,2009-02-15,0.68,0.72,0.67,0.69,1056860
66,2009-02-22,0.68,0.69,0.62,0.63,1134630
67,2009-03-01,0.61,0.61,0.57,0.6,1239240
68,2009-03-08,0.58,0.61,0.57,0.6,715940
69,2009-03-15,0.59,0.65,0.59,0.61,1687800
70,2009-03-22,0.61,0.69,0.61,0.65,3072450
71,2009-03-29,0.65,0.78,0.63,0.75,5289670
72,2009-04-05,0.72,0.83,0.7,0.83,3602380
73,2009-04-12,0.83,0.91,0.81,0.87,4053480
74,2009-04-19,0.91,0.99,0.91,0.94,6762780
75,2009-04-26,0.9,1.01,0.85,0.97,6436180
76,2009-05-03,0.97,0.98,0.94,0.97,2520000
77,2009-05-10,1.02,1.22,1.02,1.18,8282750
78,2009-05-17,1.2,1.25,1.12,1.23,8462640
79,2009-05-24,1.17,1.26,1.17,1.19,8770840
80,2009-05-31,1.22,1.25,1.14,1.17,5238070
81,2009-06-07,1.2,1.37,1.18,1.37,13478050
82,2009-06-14,1.43,1.53,1.42,1.43,12544810
83,2009-06-21,1.37,1.42,1.28,1.38,9493420
84,2009-06-28,1.35,1.38,1.26,1.36,7971820
85,2009-07-05,1.36,1.38,1.24,1.32,5637080
86,2009-07-12,1.35,1.4,1.32,1.34,4232680
87,2009-07-19,1.32,1.35,1.26,1.32,2802370
88,2009-07-26,1.29,1.43,1.28,1.43,3379380
89,2009-08-02,1.48,1.49,1.35,1.43,6556650
90,2009-08-09,1.42,1.5,1.41,1.49,5608360
91,2009-08-16,1.52,1.69,1.5,1.65,6819810
92,2009-08-23,1.64,1.73,1.6,1.67,5516920
