,time,open,high,low,close,volume
0,2011-11-13,17.47,17.47,17.47,17.47,5000
1,2011-11-20,17.47,17.47,17.47,17.47,0
2,2011-11-27,17.47,19.8,17.47,19.8,7500
3,2011-12-04,21.55,25.05,21.55,25.05,13000
4,2011-12-11,26.79,27.96,26.79,27.96,7000
5,2011-12-18,27.96,27.96,27.96,27.96,0
6,2011-12-25,27.96,28.54,27.96,28.54,3000
7,2012-01-01,28.54,28.54,28.54,28.54,0
8,2012-01-08,28.54,28.54,28.54,28.54,0
9,2012-01-15,28.54,28.54,28.54,28.54,0
10,2012-01-22,28.54,28.54,28.54,28.54,0
11,2012-01-29,,,,,0
12,2012-02-05,28.54,28.54,28.54,28.54,0
13,2012-02-12,28.54,28.54,28.54,28.54,0
14,2012-02-19,28.54,28.54,28.54,28.54,0
15,2012-02-26,28.54,28.54,28.54,28.54,0
16,2012-03-04,28.54,28.54,28.54,28.54,0
17,2012-03-11,28.54,28.54,28.54,28.54,0
18,2012-03-18,28.54,28.54,28.54,28.54,0
19,2012-03-25,28.54,28.54,28.54,28.54,0
20,2012-04-01,28.54,28.54,28.54,28.54,0
21,2012-04-08,28.54,28.54,28.54,28.54,0
22,2012-04-15,28.54,28.54,28.54,28.54,0
23,2012-04-22,28.54,28.54,28.54,28.54,0
24,2012-04-29,28.54,28.54,28.54,28.54,0
25,2012-05-06,28.54,28.54,28.54,28.54,0
26,2012-05-13,28.54,28.54,28.54,28.54,0
27,2012-05-20,28.54,29.71,28.54,29.71,3000
28,2012-05-27,29.71,29.71,29.71,29.71,0
29,2012-06-03,29.71,29.71,29.71,29.71,0
30,2012-06-10,29.71,29.71,29.71,29.71,0
31,2012-06-17,29.71,29.71,29.71,29.71,0
32,2012-06-24,29.71,29.71,29.71,29.71,0
33,2012-07-01,29.71,29.71,29.71,29.71,0
34,2012-07-08,29.71,29.71,29.71,29.71,0
35,2012-07-15,29.71,29.71,29.71,29.71,0
36,2012-07-22,29.71,29.71,29.71,29.71,0
37,2012-07-29,29.71,29.71,29.71,29.71,0
38,2012-08-05,29.71,29.71,29.71,29.71,0
39,2012-08-12,29.71,29.71,29.71,29.71,0
40,2012-08-19,29.71,29.71,29.71,29.71,0
41,2012-08-26,29.71,29.71,29.71,29.71,0
42,2012-09-02,29.71,29.71,29.71,29.71,0
43,2012-09-09,29.71,29.71,29.71,29.71,0
44,2012-09-16,29.71,29.71,29.71,29.71,0
45,2012-09-23,29.71,29.71,29.71,29.71,0
46,2012-09-30,29.71,29.71,29.71,29.71,0
47,2012-10-07,29.71,29.71,29.71,29.71,0
48,2012-10-14,29.71,29.71,29.71,29.71,0
49,2012-10-21,29.71,29.71,29.71,29.71,0
