,time,open,high,low,close,volume
0,2018-04-29,33.11,35.43,30.91,35.43,3468940
1,2018-05-06,37.09,37.09,32.45,32.89,976140
2,2018-05-13,34.17,34.55,30.95,33.8,336770
3,2018-05-20,33.8,35.32,33.22,35.21,311790
4,2018-05-27,35.3,37.08,34.11,35.13,767070
5,2018-06-03,35.13,35.13,32.65,33.89,236750
6,2018-06-10,33.89,34.15,33.21,33.74,244440
7,2018-06-17,33.78,34.15,32.65,32.69,187500
8,2018-06-24,32.58,32.69,27.96,29.65,199590
9,2018-07-01,29.27,31.15,28.15,30.4,331410
10,2018-07-08,30.59,30.59,26.27,27.02,58520
11,2018-07-15,25.18,29.27,25.18,29.27,143440
12,2018-07-22,29.31,29.57,26.31,27.77,43560
13,2018-07-29,27.77,29.27,26.27,27.73,59540
14,2018-08-05,27.73,29.27,26.31,26.57,50040
15,2018-08-12,26.38,27.7,24.81,27.02,84700
16,2018-08-19,27.02,28.86,26.35,27.77,47560
17,2018-08-26,26.72,28.9,26.65,27.77,77400
18,2018-09-02,28.15,30.02,27.77,28.67,124720
19,2018-09-09,28.52,28.67,27.96,28.49,51540
20,2018-09-16,28.15,28.34,27.4,28.15,56620
21,2018-09-23,28.15,28.34,27.06,28.15,50650
22,2018-09-30,28.15,28.64,27.96,28.56,60760
23,2018-10-07,29.24,29.24,27.77,27.77,72690
24,2018-10-14,28.6,28.6,26.53,27.77,31390
25,2018-10-21,27.02,28.52,26.83,27.4,57320
26,2018-10-28,27.4,28.07,26.57,27.36,30920
27,2018-11-04,27.4,27.62,24.58,26.65,80530
28,2018-11-11,26.65,27.32,25.6,26.65,51540
29,2018-11-18,26.95,27.06,25.18,27.02,67260
30,2018-11-25,26.27,26.65,25.48,25.82,38600
31,2018-12-02,26.27,27.4,25.82,27.4,183650
32,2018-12-09,28.52,28.52,27.4,28.34,139060
33,2018-12-16,28.34,28.34,26.38,28.15,118550
34,2018-12-23,28.15,28.15,26.01,27.7,189950
35,2018-12-30,27.7,28.34,26.65,26.98,318490
36,2019-01-06,28.15,28.15,25.52,26.65,6990
37,2019-01-13,25.9,28.15,24.77,26.27,76980
38,2019-01-20,27.51,27.51,24.77,25.9,8750
39,2019-01-27,26.98,27.02,24.77,25.9,8130
40,2019-02-03,25.82,26.65,24.09,24.81,10260
41,2019-02-10,,,,,0
42,2019-02-17,24.81,25.11,23.31,24.02,50830
43,2019-02-24,24.17,24.28,22.56,22.56,42830
44,2019-03-03,22.59,23.94,22.59,23.08,54640
45,2019-03-10,22.52,23.08,21.77,21.77,45170
46,2019-03-17,21.77,22.26,20.83,20.83,64730
47,2019-03-24,20.9,21.02,18.8,19.14,88870
48,2019-03-31,19.14,19.14,17.64,18.65,163580
49,2019-04-07,18.67,21.5,18.39,20.53,364620
50,2019-04-14,21.02,21.02,19.18,20.6,162170
51,2019-04-21,20.6,20.6,19.52,19.85,20720
52,2019-04-28,19.55,20.27,18.69,19.22,72010
