,time,open,high,low,close,volume
0,2011-01-16,4.36,4.36,3.64,4.35,954580
1,2011-01-23,4.16,5.25,4.16,4.96,5657150
2,2011-01-30,4.73,4.76,4.16,4.26,2031540
3,2011-02-06,,,,,0
4,2011-02-13,4.26,4.36,4.0,4.0,925500
5,2011-02-20,3.99,4.04,3.75,3.78,627380
6,2011-02-27,3.65,3.77,3.45,3.75,742030
7,2011-03-06,3.83,3.83,3.33,3.33,563310
8,2011-03-13,3.22,3.56,3.22,3.51,591410
9,2011-03-20,3.59,3.59,3.35,3.35,1061270
10,2011-03-27,3.51,3.78,3.43,3.56,1475220
11,2011-04-03,3.64,3.75,3.58,3.64,1153910
12,2011-04-10,3.62,3.91,3.52,3.91,1586780
13,2011-04-17,3.91,3.99,3.71,3.74,555930
14,2011-04-24,3.7,3.75,3.45,3.45,413040
15,2011-05-01,3.48,3.71,3.45,3.64,579060
16,2011-05-08,3.58,3.67,3.48,3.52,213400
17,2011-05-15,3.56,3.74,3.46,3.46,253540
18,2011-05-22,3.43,3.48,3.39,3.39,114800
19,2011-05-29,3.39,3.49,3.27,3.49,138600
20,2011-06-05,3.45,3.74,3.38,3.59,180110
21,2011-06-12,3.56,3.91,3.49,3.91,457680
22,2011-06-19,3.91,4.15,3.46,3.46,294120
23,2011-06-26,3.36,3.55,3.27,3.42,104940
24,2011-07-03,3.42,3.52,3.29,3.29,334530
25,2011-07-10,3.26,3.38,3.2,3.2,262090
26,2011-07-17,3.19,3.2,3.11,3.16,154560
27,2011-07-24,3.13,3.16,2.95,3.0,130800
28,2011-07-31,3.04,3.04,2.79,2.97,269930
29,2011-08-07,2.97,3.0,2.9,2.94,145740
30,2011-08-14,2.95,2.95,2.84,2.91,111420
31,2011-08-21,2.9,2.95,2.87,2.88,209390
32,2011-08-28,2.88,2.9,2.85,2.88,179490
33,2011-09-04,2.87,2.94,2.87,2.94,136010
34,2011-09-11,2.92,2.95,2.87,2.94,103380
35,2011-09-18,2.94,3.09,2.91,2.99,274730
36,2011-09-25,2.93,3.01,2.93,2.93,48210
37,2011-10-02,2.93,2.99,2.88,2.99,92810
38,2011-10-09,2.97,2.99,2.91,2.95,50010
39,2011-10-16,2.95,2.95,2.88,2.95,95270
40,2011-10-23,2.95,2.95,2.84,2.95,110130
41,2011-10-30,2.93,3.07,2.86,3.07,305780
42,2011-11-06,2.99,3.01,2.84,2.89,310600
43,2011-11-13,2.89,3.01,2.7,2.7,402360
44,2011-11-20,2.57,2.84,2.51,2.84,350700
45,2011-11-27,2.8,3.11,2.8,2.89,315700
46,2011-12-04,2.84,2.89,2.62,2.7,510210
47,2011-12-11,2.72,2.84,2.72,2.82,177680
48,2011-12-18,2.78,2.84,2.68,2.68,74670
49,2011-12-25,2.74,2.74,2.43,2.64,88380
50,2012-01-01,2.64,2.68,2.57,2.64,378050
51,2012-01-08,2.62,2.64,2.43,2.57,136910
52,2012-01-15,2.55,2.6,2.33,2.57,296780
53,2012-01-22,2.55,2.6,2.43,2.57,129240
54,2012-01-29,,,,,0
55,2012-02-05,2.55,2.6,2.26,2.37,217070
56,2012-02-12,2.39,2.39,2.06,2.26,136710
57,2012-02-19,2.24,2.3,2.06,2.3,105270
58,2012-02-26,2.3,2.37,2.18,2.37,242920
59,2012-03-04,2.32,2.39,2.18,2.28,100870
60,2012-03-11,2.3,2.37,2.2,2.26,203590
61,2012-03-18,2.24,2.3,2.18,2.26,74520
62,2012-03-25,2.24,2.26,2.22,2.24,35580
63,2012-04-01,2.24,2.28,2.16,2.24,39380
64,2012-04-08,2.26,2.3,2.26,2.3,36020
65,2012-04-15,2.28,2.39,2.26,2.39,39970
66,2012-04-22,2.39,2.47,2.35,2.43,48700
67,2012-04-29,2.41,2.53,2.41,2.53,22950
