,time,open,high,low,close,volume
0,2021-01-31,7.16,8.16,7.16,7.65,13476800
1,2021-02-07,8.12,8.39,7.65,8.14,23812400
2,2021-02-14,8.2,8.2,7.69,8.16,6331200
3,2021-02-21,8.35,8.37,8.14,8.22,7620000
4,2021-02-28,8.24,8.51,7.98,8.16,15137900
5,2021-03-07,8.2,8.39,8.0,8.26,14712200
6,2021-03-14,8.35,9.64,8.27,9.64,42511900
7,2021-03-21,9.72,9.86,9.45,9.72,23709600
8,2021-03-28,9.76,9.91,8.78,9.19,23322800
9,2021-04-04,9.19,9.74,9.19,9.64,17489400
10,2021-04-11,9.72,9.76,9.48,9.64,15364100
11,2021-04-18,9.64,10.07,9.29,9.37,26316900
12,2021-04-25,9.37,9.48,8.61,8.98,15465800
13,2021-05-02,8.98,9.27,8.7,9.17,8550900
14,2021-05-09,8.94,9.43,8.88,9.13,12935500
15,2021-05-16,9.13,9.52,9.0,9.43,17728100
16,2021-05-23,9.45,10.54,9.43,10.25,32457500
17,2021-05-30,10.28,11.05,10.09,11.01,34991600
18,2021-06-06,11.1,12.82,10.62,12.61,40008400
19,2021-06-13,12.49,12.8,11.32,12.31,42803100
20,2021-06-20,12.37,12.47,11.24,11.69,24014500
21,2021-06-27,11.51,11.87,11.34,11.75,16015400
22,2021-07-04,11.9,12.45,11.79,12.22,22677000
23,2021-07-11,12.18,12.8,11.32,11.49,25318100
24,2021-07-18,11.36,11.42,10.09,10.71,18132600
25,2021-07-25,10.4,11.16,10.15,11.05,17440100
26,2021-08-01,11.03,12.31,10.81,11.71,22727200
27,2021-08-08,11.71,12.2,11.71,11.95,14423400
28,2021-08-15,11.95,12.42,11.76,12.0,19150000
29,2021-08-22,12.05,12.44,11.29,11.61,16506800
30,2021-08-29,11.34,11.47,10.83,10.98,9719200
31,2021-09-05,11.03,11.32,10.86,11.03,4742300
32,2021-09-12,11.22,11.47,10.95,11.12,8521700
33,2021-09-19,11.1,11.17,10.83,11.15,5811600
34,2021-09-26,11.22,12.15,11.22,12.03,20784500
35,2021-10-03,12.03,12.1,11.22,11.29,10092500
36,2021-10-10,11.12,11.81,11.0,11.78,10790500
37,2021-10-17,11.78,12.66,11.71,12.54,23321200
38,2021-10-24,12.69,13.51,12.3,13.2,27210900
39,2021-10-31,13.08,13.47,12.59,12.98,26306300
40,2021-11-07,13.0,14.37,12.69,13.91,38385600
41,2021-11-14,13.73,14.03,12.71,13.12,38615200
42,2021-11-21,13.32,13.32,12.69,12.98,25058500
43,2021-11-28,13.03,15.47,13.03,14.83,53579300
44,2021-12-05,14.54,14.66,13.17,13.42,35200200
45,2021-12-12,13.22,13.54,12.49,13.2,21088900
46,2021-12-19,13.22,13.34,12.93,13.08,14969700
47,2021-12-26,13.08,13.12,11.95,12.64,21479200
48,2022-01-02,12.73,13.66,12.44,13.32,15431000
49,2022-01-09,13.44,14.0,13.08,13.12,14945900
50,2022-01-16,13.17,13.66,12.49,13.0,15765300
51,2022-01-23,12.98,13.25,12.2,13.03,11403300
52,2022-01-30,13.03,13.78,12.73,13.49,22187400
53,2022-02-06,,,,,0
54,2022-02-13,13.66,14.2,13.42,13.95,22696000
55,2022-02-20,13.76,13.88,13.08,13.32,14238100
56,2022-02-27,13.3,13.61,12.78,13.12,14334200
57,2022-03-06,13.15,13.15,12.64,12.91,13363200
58,2022-03-13,12.73,12.86,12.49,12.69,10209600
59,2022-03-20,12.61,12.83,12.44,12.73,5689600
60,2022-03-27,12.73,12.98,12.64,12.76,7641800
61,2022-04-03,12.66,12.78,12.2,12.54,9768800
62,2022-04-10,12.73,13.03,12.49,12.59,9483300
63,2022-04-17,12.59,12.78,12.25,12.49,7022700
64,2022-04-24,12.49,12.54,10.81,11.71,15220000
65,2022-05-01,11.66,11.66,10.34,11.66,10892800
66,2022-05-08,11.32,11.54,10.83,10.83,3462400
67,2022-05-15,10.73,10.86,8.44,8.44,11271500
68,2022-05-22,8.51,9.95,8.29,9.9,9658100
69,2022-05-29,9.95,10.0,9.42,9.9,7095100
70,2022-06-05,10.0,10.0,9.49,9.51,5407600
71,2022-06-12,9.49,9.68,8.88,9.22,5665000
72,2022-06-19,9.03,9.07,7.71,7.88,9155700
73,2022-06-26,7.71,8.34,7.56,8.1,6365500
74,2022-07-03,8.15,8.68,7.98,8.32,5906600
75,2022-07-10,8.34,8.44,8.0,8.05,4115300
76,2022-07-17,8.05,8.73,8.05,8.51,6456200
77,2022-07-24,8.59,8.68,8.34,8.59,5060300
78,2022-07-31,8.56,8.88,8.42,8.86,7310500
79,2022-08-07,8.73,9.0,8.71,8.76,11060400
80,2022-08-14,8.81,8.98,8.71,8.81,7966800
81,2022-08-21,8.83,9.0,8.71,8.76,8380700
82,2022-08-28,8.73,8.88,8.44,8.73,7163200
83,2022-09-04,8.59,8.71,8.44,8.61,3039300
