,time,open,high,low,close,volume
0,2010-08-01,7.13,7.13,6.77,7.04,1006510
1,2010-08-08,7.04,7.1,6.81,6.86,870200
2,2010-08-15,6.86,6.86,6.24,6.47,289950
3,2010-08-22,6.47,6.63,6.42,6.52,191530
4,2010-08-29,6.52,6.52,5.6,5.99,500730
5,2010-09-05,6.24,6.42,6.24,6.38,79100
6,2010-09-12,6.51,6.51,6.22,6.22,122260
7,2010-09-19,6.22,6.54,5.92,6.54,354810
8,2010-09-26,6.83,6.83,6.2,6.2,261600
9,2010-10-03,6.24,6.33,6.01,6.1,140980
10,2010-10-10,6.04,6.33,5.88,6.06,118180
11,2010-10-17,6.04,6.22,5.79,6.03,85670
12,2010-10-24,5.94,6.03,5.79,5.79,123770
13,2010-10-31,5.83,5.88,5.79,5.81,101200
14,2010-11-07,5.81,6.06,5.76,6.06,133010
15,2010-11-14,6.06,6.24,5.79,5.85,135270
16,2010-11-21,5.85,5.88,5.53,5.79,118780
17,2010-11-28,5.79,6.06,5.69,5.76,126400
18,2010-12-05,5.76,6.06,5.53,5.87,145540
19,2010-12-12,5.87,6.13,5.76,5.83,108250
20,2010-12-19,6.11,6.19,5.83,6.03,167830
21,2010-12-26,6.04,6.23,5.8,6.23,175770
22,2011-01-02,6.23,6.52,6.21,6.25,95630
23,2011-01-09,6.25,6.25,6.06,6.25,71090
24,2011-01-16,6.15,6.37,5.97,6.06,99230
25,2011-01-23,6.06,6.25,5.99,6.12,90950
26,2011-01-30,6.21,6.39,5.88,6.06,84720
27,2011-02-06,,,,,0
28,2011-02-13,6.25,6.43,5.88,6.25,83140
29,2011-02-20,6.23,6.41,5.66,5.97,192390
30,2011-02-27,5.93,6.21,5.57,5.79,150960
31,2011-03-06,5.79,5.82,5.42,5.51,115220
32,2011-03-13,5.51,5.88,5.47,5.58,175250
33,2011-03-20,5.6,5.6,5.32,5.47,84340
34,2011-03-27,5.47,5.6,5.19,5.43,49140
35,2011-04-03,5.49,5.7,5.39,5.43,74890
36,2011-04-10,5.39,5.51,5.32,5.39,44530
37,2011-04-17,5.39,5.41,5.36,5.38,28430
38,2011-04-24,5.32,5.53,5.22,5.28,47320
39,2011-05-01,5.28,5.38,5.26,5.32,38630
40,2011-05-08,5.32,5.41,5.17,5.22,17590
41,2011-05-15,5.32,5.32,5.15,5.17,37640
