,time,open,high,low,close,volume
0,2009-07-05,9.13,9.59,8.53,8.53,8957850
1,2009-07-12,8.53,8.91,7.84,7.84,6406070
2,2009-07-19,7.61,7.84,7.23,7.47,3417340
3,2009-07-26,7.17,7.92,7.11,7.92,3318750
4,2009-08-02,8.3,8.53,7.69,8.22,5384940
5,2009-08-09,8.6,8.98,8.37,8.6,8904510
6,2009-08-16,8.68,8.83,8.6,8.68,4499870
7,2009-08-23,8.6,8.83,8.37,8.53,4292380
8,2009-08-30,8.68,8.68,8.45,8.6,2905980
9,2009-09-06,8.75,8.75,8.3,8.3,3815230
10,2009-09-13,8.07,8.3,7.92,8.07,3152740
11,2009-09-20,8.07,8.75,7.99,8.6,5240810
12,2009-09-27,8.6,8.6,8.07,8.45,3653620
13,2009-10-04,8.53,8.53,7.61,7.76,4315070
14,2009-10-11,7.84,7.92,7.61,7.84,2907400
15,2009-10-18,7.92,8.98,7.76,8.6,8249960
16,2009-10-25,8.37,8.75,8.22,8.6,7774570
17,2009-11-01,8.68,8.75,7.69,7.92,8140360
18,2009-11-08,7.92,8.14,7.69,7.84,6224810
19,2009-11-15,7.76,7.92,7.54,7.58,4316010
20,2009-11-22,7.54,7.61,7.31,7.34,3026670
21,2009-11-29,7.31,7.32,6.06,6.67,5483390
22,2009-12-06,6.82,7.44,6.77,7.03,3207930
23,2009-12-13,6.94,7.05,6.2,6.21,2960630
24,2009-12-20,6.52,7.03,6.36,7.03,3510490
25,2009-12-27,7.03,7.31,6.93,7.16,2327190
26,2010-01-03,7.02,7.16,6.82,7.16,1213430
27,2010-01-10,7.16,7.84,7.14,7.16,2572720
28,2010-01-17,7.23,7.23,6.62,6.9,1289300
29,2010-01-24,6.85,6.91,6.42,6.47,1468630
30,2010-01-31,6.44,6.65,6.39,6.39,906610
31,2010-02-07,6.39,6.77,6.36,6.65,1265650
32,2010-02-14,6.53,6.87,6.49,6.77,725280
33,2010-02-21,,,,,0
34,2010-02-28,6.85,7.46,6.79,7.46,3024790
35,2010-03-07,7.46,7.61,7.14,7.14,1520200
36,2010-03-14,7.14,7.53,7.08,7.42,1332380
37,2010-03-21,7.42,7.43,6.96,6.96,1426820
38,2010-03-28,6.95,7.18,6.87,7.1,937500
39,2010-04-04,7.04,7.1,6.85,6.92,891630
40,2010-04-11,7.01,7.03,6.81,6.87,1178020
41,2010-04-18,6.89,6.95,6.75,6.75,1024050
42,2010-04-25,6.71,6.92,6.6,6.84,712450
43,2010-05-02,6.84,6.87,6.71,6.71,758450
44,2010-05-09,6.71,7.01,6.59,6.64,928920
45,2010-05-16,6.6,6.71,6.48,6.51,1687450
46,2010-05-23,6.54,6.54,6.11,6.11,2011270
47,2010-05-30,6.11,6.4,6.11,6.4,1433030
48,2010-06-06,6.4,6.51,6.32,6.47,1547040
49,2010-06-13,6.31,6.42,6.27,6.37,1070760
50,2010-06-20,6.37,6.82,6.36,6.67,1640360
51,2010-06-27,6.74,6.74,6.42,6.42,668170
52,2010-07-04,6.42,6.91,6.42,6.57,1082540
53,2010-07-11,6.61,6.67,6.49,6.49,316610
54,2010-07-18,6.49,6.67,6.44,6.52,350290
55,2010-07-25,6.57,6.59,6.32,6.34,573760
56,2010-08-01,6.32,6.34,6.16,6.26,328570
